"","refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed.9908_bed","refseq_mm9_29Apr2010_IMP_BED_merged_TSS_norand_bed.DNase1HS_8846_bed"
"21429",-1.21782847636311,-1.46658385820411
"21430",-1.36664265722152,-1.62939439906185
"21431",-1.21454914896294,-0.779512723931364
"21432",-1.25125395302451,-0.598194651100667
"21433",-1.49532529123012,-0.838847700997137
"21434",-1.30234354946542,-0.597776458713085
"21435",-1.16444893235029,-1.28827710817277
"21436",-1.40607182931799,-0.962187191678928
"21437",-1.31001668774674,-1.48248740698356
"21438",-1.22085824095022,-1.42087978029841
"21439",-1.27749770179873,-0.623366478858552
"21440",-1.43055585975948,-1.56855581838279
"21441",-1.48615672076888,-0.27101431268162
"21442",-1.30136887754099,-1.48123608374004
"21443",-1.26377884465084,-0.367788776484901
"21444",-1.08775136567119,-0.686354199757761
"21445",-1.18164212204165,-1.46504787904192
"21446",-1.28953567656344,-1.35688304443144
"21447",-1.36285063452733,-0.730746308886762
"21448",-1.17721754092925,-0.327005833694291
"21449",-1.21234119808972,-0.826790414389154
"21450",-1.34417991218278,-1.30022295823999
"21451",-1.43009963731529,-0.629860856968803
"21452",-1.34048311623578,-0.628283952048016
"21453",-1.3992121814927,-1.35108405767513
"21454",-1.32847541937033,-0.366374014995705
"21455",-1.33059943048851,-0.362941777231274
"21456",-1.40558534868658,-0.762594514164098
"21457",-1.20648899420714,-1.43743355671455
"21458",-1.25936102918837,-1.46040957946608
"21459",-1.28455658890478,-1.59300022162355
"21460",-1.31351567102084,-1.63827216398241
"21461",-1.06404959705591,-0.819567301213537
"21462",-1.14559678429195,-0.6274377817145
"21463",-1.34893530799596,-0.473826199648509
"21464",-1.39747339286508,-0.746889865165794
"21465",-1.23503224503082,-0.45168307271
"21466",-1.52696580802682,-1.65783402358724
"21467",-1.09745322068601,-1.06109518437057
"21468",-1.43830246734601,-0.621716593441367
"21469",-1.20108706191159,-1.06421572049271
"21470",-1.32861422925482,-1.05927936496412
"21471",-1.25188177593056,-1.62278484373694
"21472",-1.30336407502279,-0.378232939464793
"21473",-1.25600447350135,-0.894660160194714
"21474",-1.11807922642268,-0.271516354934699
"21475",-1.15350825212638,-0.27489157517463
"21476",-1.401570643809,-1.08479017720354
"21477",-1.39604411456462,-0.599937145102801
"21478",-1.30507906533322,-0.300683566874133
"21479",-1.33105526554227,-0.74742850248718
"21480",-1.40500008326775,-0.470832817461108
"21481",-1.22338597415121,-1.23796698188192
"21482",-1.36148079273454,-1.50111077259793
"21483",-1.42485835907067,-1.423336216585
"21484",-1.4331502122056,-1.54352768402485
"21485",-1.664401703467,-1.68668126450141
"21486",-1.53923742572362,-1.73203084131491
"21487",-1.70261158811937,-1.73631659944281
"21488",-1.68526926615522,-1.65724185758071
"21489",-1.30401952164818,-1.47333770698954
"21490",-1.4039199675139,-1.41210951881365
"21491",-1.23266599836081,-1.51089971303104
"21492",-1.24634801094555,-1.44345629151649
"21493",-1.33617662271524,-1.4713017868078
"21494",-1.2062584936444,-1.47347980426473
"21495",-1.41634789145796,-1.61076301620148
"21496",-1.18288436131173,-0.506794373235407
"21497",-1.09280906735557,-0.814979424921323
"21498",-1.2057908836535,-0.692095532298056
"21499",-1.11492727444766,-0.685673429452634
"21500",-1.12808280074452,-0.494965396475743
"21501",-1.31790910095313,-1.40097982641495
"21502",-1.35340024827963,-1.45960795126162
"21503",-1.42266907976525,-0.715488055040706
