Gene_ID	RPKM_sample1
NM_001033764	4.22174507606846
NM_172499	91.0027440096041
NM_008783	52.465943163616
NM_001011874	0.022826559474838
NM_001195662	0.732648448142411
NM_011283	7.35600511486575
NM_011441	1.2865678080314
NR_033530	0.64989948102212
NM_001177658	1.45380506493124
NM_025300	2.47720731458678
NM_021374	1.06552789253498
NM_001177795	6.84181067838253
NM_010342	2.29036199402184
NM_027671	3.82622690992064
NR_015470	4.8143078376145
NM_008651	11.1362277329371
NM_173443	7.89553857028093
NR_004410	3091.60537614341
NR_024067	12.3812450694241
NM_145692	2.79798768998655
NM_027033	16.3786051385683
NM_013715	350.694839437579
NM_001102430	30.1605416224032
NM_177834	31.4180333402168
NM_172841	882.766588815858
NM_001081209	9.6072965327888
NM_008678	2.76138536955696
NM_001077695	6.7885746542339
NM_028173	8.93140660214235
NM_145381	7.35507609173935
NR_004447	310.476650094876
NM_010164	43.1105875848667
NM_001252192	0.942173616925062
NM_010827	31.9699962863652
NM_177781	516.218040394535
NM_001033288	5.04656982153193
NM_001243238	4.21394107147918
NM_011291	468.459674326552
NM_001111272	50.1724696551612
NM_025303	40.0350578376568
NM_001271016	42.1107253593663
NM_001271017	1333.02227172063
NM_025773	10.3197132621191
NR_073122	9.47723605783237
NM_026456	18.698336537963
NM_020604	15.339263740439
NM_030033	3.00378108347047
NR_002879	19.3918762800007
NM_001039123	13.3192900230473
NM_183124	34.1828395578959
NM_001040027	20.8016568128121
NM_153179	74.866709951956
NM_145856	14.6423320252779
NM_008563	3.06938729990586
NR_040492	71.2757618947552
NM_177409	1451.75358445072
NR_002858	94.6520460898259
NM_023872	39.5593290789533
NM_001160139	18.9861483691406
NM_053270	6.72158906763718
NM_183018	34.8872013347081
NM_001012625	935.83387439945
NM_001012624	4.43966132673896
NM_001012623	19.2156090924959
NM_025746	39.1713264767582
NM_001081079	9.01281810200722
NM_028534	10.564316805167
NM_026503	61.0184901025274
NM_026604	6.72903721211827
NM_007733	34.202362561282
NM_175642	28.9197781733633
NM_001204913	1715.32844272276
NM_001013750	2.48460278855963
NM_001081080	17.863910798804
NR_002688	2100.23141035811
NM_011200	18.6135723222284
