"","id","normalizedCounts_13314_invitro_2h_GFP/13315_invitro_2h_DL1","normalizedCounts_13316_invitro_4h_GFP","pval","padj","moderated_log2FoldChange","foldChange","rpkm_VIT","rpkm_VITB","disp"
"DTX1:NM_008052","DTX1",4779.61248096738,195.671563398243,1.77282474764329e-84,2.68653862257864e-80,-2.45142042339938,0.0409387924601451,49.9026181547494,2.0708411550423,0.00989704718493141
"DLL1:NM_007865","DLL1",420.046137600521,4.4470809863237,3.55563183549042e-42,2.69410224175109e-38,-1.62727645538456,0.0105871250518509,4.75268727303901,0.050978636116026,0.0176745464780242
"RUNDC3B:NM_198620","RUNDC3B",785.289261605305,215.683427836699,1.000011412939e-12,3.03083459033552e-09,-1.35920776483454,0.274654752563144,8.19068791667665,2.30740927700031,0.0157103540349075
"IL2RA:NM_008367","IL2RA",11739.9934779812,4190.26205936351,6.95925041775403e-15,3.51534936102148e-11,-1.23220359319854,0.3569220091325,102.289460619331,37.2471381665027,0.0105715773068882
"CXCL12:NM_021704:NM_013655:NM_001012477","CXCL12",698.466700826805,1502.00160313083,3.06324102433139e-07,0.000309469029884786,1.21441542935564,2.15042692994934,3.77529697713392,8.26532944212978,0.0126850618059181
"EPAS1:NM_010137","EPAS1",2466.89043305945,902.757440223711,1.20254253516915e-13,4.55583239448832e-10,-1.17325816387903,0.365949548518904,17.7361403941348,6.62985329907073,0.0104925845767644
"ACTA2:NM_007392","ACTA2",397.393140111617,1040.61695079975,2.15024560510665e-09,4.6549745571123e-06,1.16332803079046,2.61860823895315,8.55869587329863,22.9311536764143,0.0157370640628693
"TMEM108:NM_178638","TMEM108",225.254003298187,41.1354991234942,2.12854056797363e-08,2.93235488791567e-05,-1.13692251866447,0.182618282122337,2.34495701479551,0.43852586501565,0.0365669920744557
"TIMP3:NM_011595","TIMP3",144.740791578226,385.784275563581,8.7610066872877e-06,0.0055983687381098,1.07215693640324,2.66534590115933,1.19734781244057,3.24554464213858,0.0260758281157039
"COL1A2:NM_007743","COL1A2",805.935838661785,1399.71874044538,0.000316918372324859,0.0750403283470455,1.07042858632344,1.73676200176126,6.0152537825612,10.6218600466888,0.0121246576338959
"TMED5:NM_028876","TMED5",2020.47665752786,904.980980716873,1.16084427760653e-08,1.75914341828493e-05,-1.02884345174999,0.44790469483778,20.6593228245413,9.50112124479713,0.0111259298790731
"AHR:NM_013464","AHR",1270.08994994687,508.079002687483,9.96841755818148e-10,2.51768999461137e-06,-1.02383486092625,0.400033873749443,8.89494765136891,3.63847397949941,0.0125062718102546
"SYNCRIP:NM_019796:NM_019666","SYNCRIP",4392.14283652867,2125.70471146273,3.25200091811078e-08,4.10673515942089e-05,-0.992109947266414,0.483978957556576,22.9097138268855,11.398370939913,0.00999120563960318
"SERPINH1:NM_001111044:NM_001111043:NM_009825","SERPINH1",179.79045244099,402.460829262295,0.000191392170433854,0.0580071390150925,0.974576915125846,2.23849945199058,2.84561334296449,6.47594099145825,0.024327076837341
"ARHGAP5:NM_009706","ARHGAP5",730.708968766078,301.289736823431,2.2528767822211e-07,0.000243857819698418,-0.957873110746533,0.412325220712985,5.39879900975517,2.2832808786244,0.0152322901218207
"MORF4L2:NM_001168225:NM_001168226:NM_001168229:NM_019768:NM_001168227:NM_001168228:NM_001168230","MORF4L2",2070.46310879658,1011.71092438864,2.2230613626799e-07,0.000243857819698418,-0.922003291080813,0.488639918330485,31.9954734159086,16.0500132735153,0.0109503724132046
"MYO1F:NM_053214","MYO1F",1012.97684348624,1998.9629033525,3.80585670892438e-07,0.000360462203544001,0.881747795970565,1.97335498457488,10.0693365826441,20.4103420244896,0.0116588574313642
"SNAI1:NM_011427","SNAI1",74.0496075145276,203.453955124309,0.000197683749681668,0.0587392067191372,0.866219638178539,2.74753590131311,1.80624172347454,5.04763088693383,0.0378174179709062
"TAGLN:NM_011526","TAGLN",165.582182170702,410.243220988361,1.886204332286e-05,0.0102084073040936,0.863551693048251,2.47758071315569,3.99700487317402,10.165215339961,0.027124135464045
"CSPG4:NM_139001","CSPG4",59.873782971933,172.324388220043,0.000350127471116999,0.0791915178702537,0.851656243585504,2.87812761556797,0.288106373009075,0.84286312309141,0.0445871164857777
"TRIM59:NM_025863","TRIM59",2655.15503605392,1411.94821315777,3.72285051649281e-06,0.00296926719615432,-0.837803545668658,0.531776184058994,34.8049861230918,19.042997142989,0.0106155149231757
"GLS:NM_001081081:NM_001113383","GLS",6210.05932005807,3377.55800911285,1.6461536117954e-06,0.0014674006960675,-0.835754294430265,0.543884983224487,31.7853970812703,17.739427755594,0.00990617908768893
"ZFP758:NM_145484","ZFP758",317.425734398521,120.07118663074,5.84522230937539e-05,0.025007570418599,-0.830181590137171,0.378265444855184,4.07459862438765,1.5894960709474,0.0267508504488551
"ABCB1B:NM_011075","ABCB1B",236.090239514036,78.9356875072457,2.61831270441859e-05,0.0132259702409198,-0.828678208396409,0.33434540822071,2.07778516562135,0.711768218310496,0.0311632503024396
"1110002B05RIK:NM_134054","1110002B05RIK",2387.94053663844,1274.08870258174,4.21622877227527e-06,0.00319463654075297,-0.826097884866279,0.533551268565216,67.136407288905,36.7969957738193,0.0108464163686284
"GAR1:NM_026578","GAR1",628.796187617851,291.283804604202,2.27824955944159e-05,0.0119050323530268,-0.823572826807473,0.463240411344906,23.4374614943882,11.1487060087353,0.0173138143400975
"CRLF1:NM_018827","CRLF1",52.7530123813797,158.983145261072,0.000270911083270662,0.069132499696731,0.821223819880533,3.01372638422424,1.23490423705349,3.78702730109228,0.0470595741314793
