"","id","normalizedCounts_13314_invitro_2h_GFP/13315_invitro_2h_DL1","normalizedCounts_13316_invitro_4h_GFP","pval","padj","moderated_log2FoldChange","foldChange","rpkm_VIT","rpkm_VITB","disp"
"1700106J16RIK:NM_028859","1700106J16RIK",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0359547845781406,1e-08
"2010003K11RIK:NM_027237","2010003K11RIK",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0374926282299002,1e-08
"4930583H14RIK:NM_026358:NR_028121","4930583H14RIK",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0306281498258234,1e-08
"4933401F05RIK:NM_001081063","4933401F05RIK",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0429694925497582,1e-08
"9830107B12RIK:NM_177824","9830107B12RIK",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0121645524287409,1e-08
"9930023K05RIK:NM_172641:NM_001164263","9930023K05RIK",0,1.11177024658092,0.618207023677449,1,0.164726192645493,Inf,0,0.0182544283218465,0.148667157017836
"A330021E22RIK:NM_172447","A330021E22RIK",0,1.11177024658092,0.619190843397212,1,0.164726192645493,Inf,0,0.0134115307223847,0.207514100346764
"AANAT:NM_009591:NR_033223","AANAT",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0300403580539776,1e-08
"ABCA8B:NM_013851","ABCA8B",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.00704984436235376,1e-08
"ABCC6:NM_018795","ABCC6",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.00878510370830895,1e-08
"ABCC8:NM_011510","ABCC8",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.00878158333014493,1e-08
"ABCC9:NM_001044720:NM_011511:NM_021041:NM_021042","ABCC9",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.00578293737970093,1e-08
"ABRA:NM_175456","ABRA",0,1.11177024658092,0.618207023677449,1,0.164726192645493,Inf,0,0.0248463052158466,0.148667157017836
"AC115972.5:NR_015595","AC115972.5",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0130365503868987,1e-08
"AC116392.1:NM_182807","AC116392.1",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0105739161401094,1e-08
"AC124453.1:NM_001163103","AC124453.1",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0299377612027004,1e-08
"AC126430.1:NM_001013411:NM_001025286","AC126430.1",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0116845860839118,1e-08
"AC150648.1:NM_001101488","AC150648.1",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0111495503436157,1e-08
"ADCY10:NM_173029","ADCY10",0,1.11177024658092,0.618207023677449,1,0.164726192645493,Inf,0,0.00835950455860258,0.148667157017836
"ADORA1:NM_001008533:NM_001039510","ADORA1",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.00757237083634301,1e-08
"AIRE:NM_009646","AIRE",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0225573249617876,1e-08
"AKAP3:NM_009650","AKAP3",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0138742900920397,1e-08
"AKR1C18:NM_134066","AKR1C18",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0371116701107141,1e-08
"AL671211.1:NM_001100444","AL671211.1",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.016883236672093,1e-08
"AL807386.2:NR_028286","AL807386.2",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.05150279953085,1e-08
"AL844569.1:NR_028422","AL844569.1",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0229831580496871,1e-08
"ALDH1A2:NM_009022","ALDH1A2",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0192400712909365,1e-08
"ALK:NM_007439","ALK",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.00736991464616669,1e-08
"ANKRD34A:NM_001024851","ANKRD34A",0,1.11177024658092,0.618207023677449,1,0.164726192645493,Inf,0,0.016935425966288,0.148667157017836
"ANKRD45:NM_028664","ANKRD45",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0117503706168239,1e-08
"ANKRD7:NM_029202:NM_001167757","ANKRD7",0,1.11177024658092,0.619190843397212,1,0.164726192645493,Inf,0,0.0366768890382873,0.207514100346764
"ANKS1B:NM_001128086:NM_001177397:NM_181398:NM_001177398:NM_001177396","ANKS1B",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.00425399227416804,1e-08
"ANO1:NM_178642","ANO1",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.00995884626238431,1e-08
"ANO3:NM_001128103:NM_001081556","ANO3",0,1.11177024658092,0.618207023677449,1,0.164726192645493,Inf,0,0.0128756998827125,0.148667157017836
"AOX3L1:NM_001008419","AOX3L1",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.00911013976319961,1e-08
"ARMC4:NM_001081393","ARMC4",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0125296976560187,1e-08
"ART5:NM_007491","ART5",0,1.11177024658092,0.618207023677449,1,0.164726192645493,Inf,0,0.0254967320539577,0.148667157017836
"ASB10:NM_080444","ASB10",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0188592437180522,1e-08
"ASCL1:NM_008553","ASCL1",0,1.11177024658092,0.615542620188455,1,0.164726192645493,Inf,0,0.0193847334810939,1e-08
