"","mod_log2FC","mod_log2_VIT","mod_log2_VITB"
"NM_001033764",0.201303242273468,5.63673186901334,5.83803511128681
"NM_172499",0.228322826187025,7.72908446469951,7.95740729088653
"NM_008783",0.104002588828127,11.0400319802799,11.144034569108
"NM_001011874",1.69388690179139,-9.551875721469,-7.85798881967761
"NM_001195662",1.90695857854278,-6.61472150023508,-4.7077629216923
"NM_011283",1.65193647435729,-6.3596993960496,-4.7077629216923
"NM_011441",1.35868601849847,-5.82247856663171,-4.46379254813324
"NR_033530",-0.632866108512807,-3.20438232626317,-3.83724843477597
"NM_001177658",-0.632866108512807,-3.20438232626317,-3.83724843477597
"NM_025300",-0.632866108512807,-3.20438232626317,-3.83724843477597
"NM_021374",-0.89833177755585,-2.50300524351015,-3.401337021066
"NM_001177795",-0.89833177755585,-2.50300524351015,-3.401337021066
"NM_010342",-1.0214119405727,-1.92806843355822,-2.94948037413092
"NM_027671",-0.335209230879931,-0.953299762796487,-1.28850899367642
"NR_015470",0.0798974164511765,-0.645875043714231,-0.565977627263054
"NM_008651",0.0453824873328248,-0.611360114595879,-0.565977627263054
"NM_173443",0.0287777735063042,-0.526460992628946,-0.497683219122642
"NR_004410",0.520911282235215,14.3502944445509,14.8712057267861
"NR_024067",0.0921158126391024,-0.113477479736551,-0.0213616670974481
"NM_145692",0.730016657392641,1.28424839205522,2.01426504944786
"NM_027033",0.730016657392641,1.28424839205522,2.01426504944786
"NM_013715",0.730016657392641,1.28424839205522,2.01426504944786
"NM_001102430",0.724520242759606,1.3268356230328,2.0513558657924
"NM_177834",0.74524374108986,1.37950126991278,2.12474501100264
"NM_172841",0.678638555014757,1.71260967304416,2.39124822805892
"NM_001081209",0.740628379708951,1.77070981298387,2.51133819269282
"NM_008678",0.791334078683906,1.77070981298387,2.56204389166777
"NM_001077695",0.791334078683906,1.77070981298387,2.56204389166777
"NM_028173",0.777298381010379,1.88486078510372,2.6621591661141
"NM_145381",0.803371342035812,1.94095894385571,2.74433028589153
"NR_004447",0.778316513584487,2.01479290615663,2.79310941974112
"NM_010164",0.77410701026365,2.05131090580196,2.82541791606561
"NM_001252192",0.77410701026365,2.05131090580196,2.82541791606561
"NM_010827",0.815761280133907,2.10560588056497,2.92136716069888
"NM_177781",0.765927549971964,2.34324467835319,3.10917222832515
"NM_001033288",0.66894591881073,2.56277340166278,3.23171932047351
"NM_001243238",0.674493525114396,2.58757162960927,3.26206515472367
"NM_011291",0.658019317440516,2.60404583728315,3.26206515472367
"NM_001111272",0.266508731200044,3.66843702334715,3.9349457545472
"NM_025303",0.266508731200044,3.66843702334715,3.9349457545472
"NM_001271016",0.317216677163932,3.57508857343511,3.89230525059904
"NM_001271017",0.317216677163932,3.57508857343511,3.89230525059904
"NM_025773",0.317216677163932,3.57508857343511,3.89230525059904
"NR_073122",0.317216677163932,3.57508857343511,3.89230525059904
"NM_026456",0.337871498834723,3.62545506570109,3.96332656453582
"NM_020604",0.202452857769327,3.83165870113946,4.03411155890878
"NM_030033",0.00113462293549205,4.13139647723629,4.13253110017178
"NR_002879",0.0151261759934229,4.13139647723629,4.14652265322971
"NM_001039123",0.0151261759934229,4.13139647723629,4.14652265322971
"NM_183124",0.0151261759934229,4.13139647723629,4.14652265322971
"NM_001040027",0.00823533096981954,4.13828732225989,4.14652265322971
"NM_153179",0.0110581378315935,4.32954368869644,4.34060182652803
"NM_145856",-0.00226300072293384,4.35659787451827,4.35433487379534
"NM_008563",-0.00226300072293384,4.35659787451827,4.35433487379534
"NR_040492",0.00490444222788966,4.37684398013843,4.38174842236632
"NM_177409",0.00571823436026264,4.43064558468992,4.43636381905018
"NR_002858",0.189950973177906,5.0783812345453,5.2683322077232
"NM_023872",0.189950973177906,5.0783812345453,5.2683322077232
"NM_001160139",0.189950973177906,5.0783812345453,5.2683322077232
"NM_053270",0.23106569243768,5.20817871514984,5.43924440758752
"NM_183018",0.23106569243768,5.20817871514984,5.43924440758752
"NM_001012625",0.23106569243768,5.20817871514984,5.43924440758752
"NM_001012624",0.23106569243768,5.20817871514984,5.43924440758752
"NM_001012623",0.23106569243768,5.20817871514984,5.43924440758752
"NM_025746",0.272523211503829,5.23876009304189,5.51128330454572
"NM_001081079",0.235786540710734,5.28743320814966,5.52321974886039
"NM_028534",0.22293511598752,5.34783108418191,5.57076620016943
"NM_026503",0.246365666444934,5.35985169730894,5.60621736375387
"NM_026604",0.252140141209823,5.36585464826003,5.61799478946986
"NM_007733",0.269637636192675,5.37185269845956,5.64149033465223
"NM_175642",0.202728945690684,5.53195622166117,5.73468516735186
"NM_001204913",0.208428310653165,5.53781802362641,5.74624633427958
"NM_001013750",0.284259964990284,5.71143827147775,5.99569823646803
"NM_001081080",0.419707302953416,5.86962755233044,6.28933485528386
"NR_002688",0.418624703989805,5.89192591616746,6.31055062015726
"NM_011200",0.418624703989805,5.89192591616746,6.31055062015726
"NR_033445",0.438614562971798,5.91414983165187,6.35276439462367
"NM_001199956",0.428551736153363,6.0077755023896,6.43632723854297
"NM_001164286",0.428551736153363,6.0077755023896,6.43632723854297
"NM_008922",0.502732681615715,6.05680430048614,6.55953698210185
"NM_145392",0.506061310351429,6.08388280762683,6.58994411797826
"NM_133817",0.526245701441182,6.08388280762683,6.61012850906801
"NM_001161816",0.397325299111376,6.22286938175686,6.62019468086824
"NM_177235",0.392040215168535,6.2281544656997,6.62019468086824
"NR_039562",0.428680099750734,6.29122895050661,6.71990905025734
"NM_027159",0.336507090817076,6.35366770078905,6.69017479160613
"NM_009356",0.457198062229152,6.38979902175529,6.84699708398445
"NR_033627",0.457198062229152,6.38979902175529,6.84699708398445
"NM_174997",0.456572692090655,6.40008304647295,6.8566557385636
"NM_001160236",0.456572692090655,6.40008304647295,6.8566557385636
"NM_001160235",0.456572692090655,6.40008304647295,6.8566557385636
"NM_198899",0.640951287453873,6.50702135615345,7.14797264360732
"NM_153408",0.625828945832989,6.52214369777433,7.14797264360732
"NM_172652",0.590692516408463,6.55728012719886,7.14797264360732
"NM_001013374",0.545822131956303,6.60215051165102,7.14797264360732
"NM_026241",0.525989293735364,6.62198334987196,7.14797264360732
"NM_153502",0.525989293735364,6.62198334987196,7.14797264360732
"NM_001126047",0.521041578310726,6.62693106529659,7.14797264360732
"NM_001126046",0.481610434772964,6.66636220883436,7.14797264360732
"NM_027957",0.481610434772964,6.66636220883436,7.14797264360732
"NM_201365",0.49075144450708,6.66636220883436,7.15711365334144
"NM_146107",0.483796711059306,6.70064582380543,7.18444253486473
"NM_018872",0.481760454627466,6.72987030229599,7.21163075692345
"NM_198006",0.489347755401713,7.04630872032098,7.53565647572269
"NM_173870",0.489347755401713,7.04630872032098,7.53565647572269
"NR_024017",0.489347755401713,7.04630872032098,7.53565647572269
"NM_028096",0.474919511460925,7.0692107550471,7.54413026650803
"NM_207228",0.469683955729067,7.08290548162961,7.55258943735868
"NM_026913",0.46446856216307,7.09656544936967,7.56103401153274
"NM_001033427",0.47222663375436,7.1056528291345,7.57787946288886
"NM_027111",0.467688713353073,7.11019074953579,7.57787946288886
"NM_172054",0.459273262753719,7.11019074953579,7.56946401228951
"NM_019570",0.467025318295665,7.11925506826555,7.58628038656121
"NM_010678",0.453457594735134,7.13282279182608,7.58628038656121
"NM_001029878",0.453462415290385,7.19121960178039,7.64468201707077
"NM_145142",0.457931690306147,7.18675032676463,7.64468201707077
"NM_018775",0.353710785180198,7.33225588842897,7.68596667360916
"NR_028555",-1.42860932278964,12.6743358954424,11.2457265726528
"NM_001033135",0.211282599222962,7.50745548505575,7.71873808427871
"NM_170597",0.194103469021606,7.54093537408934,7.73503884311094
"NM_001145660",0.202232689512872,7.54093537408934,7.74316806360221
"NM_001177348",0.254265153658388,7.55343175667874,7.80769691033713
"NR_040465",0.262268473365221,7.55343175667874,7.81570023004396
"NR_037980",0.220083683742327,7.61954331119634,7.83962699493866
"NR_040475",0.219023210718941,7.77696581576117,7.99598902648011
"NR_027826",0.185553808080346,7.8790403333855,8.06459414146584
"NM_001013025",0.0193909006803175,8.17921881752696,8.19860971820728
"NM_010212",0.0305187818550046,8.19730289748357,8.22782167933858
"NM_026430",0.102115773268064,8.25465026967319,8.35676604294125
"NM_001013799",0.0665949845804086,8.36006147980899,8.4266564643894
"NM_029368",0.0665949845804086,8.36006147980899,8.4266564643894
"NM_023645",0.0596644732420906,8.36699199114731,8.4266564643894
"NM_207281",0.0290716881590143,8.45261607171492,8.48168775987393
"NR_040602",0.0788133352777152,8.65388313822674,8.73269647350446
"NM_007737",0.0214437666263798,8.71125270687808,8.73269647350446
"NM_016917",-0.267144002224317,9.47571816157645,9.20857415935213
"NR_037691",-0.250598621499023,9.47571816157645,9.22511954007743
"NR_037690",-0.250598621499023,9.47571816157645,9.22511954007743
"NM_172653",-0.338783795103101,9.46327015873802,9.12448636363492
